result,match_id,date,round,season_stage,away_result,home_result,away_team,home_team,goals_per_kick_away,goals_per_kick_home,m_per_run_away,m_per_run_home,tb_per_run_away,tb_per_run_home,lb_per_run_away,lb_per_run_home,offs_per_run_away,offs_per_run_home,ta_per_touch_away,ta_per_touch_home,lba_per_touch_away,lba_per_touch_home,kick_per_touch_away,kick_per_touch_home,pass_per_touch_away,pass_per_touch_home,km_per_kick_away,km_per_kick_home,tries_per_game_away,tries_per_game_home,err_per_touch_away,err_per_touch_home,points_per_game_away,points_per_game_home,tackles_time_away,tackles_time_home,saves_per_game_away,saves_per_game_home,miss_per_t_away,miss_per_t_home,pen_per_t_away,pen_per_t_home,ineff_per_t_away,ineff_per_t_home,score_away,score_home,completion_rate_percentage_away,completion_rate_percentage_home,possession_percentage_away,possession_percentage_home,time_in_own_half_away,time_in_own_half_home,time_in_opp_half_away,time_in_opp_half_home,time_in_own20_away,time_in_own20_home,time_in_opp20_away,time_in_opp20_home,set_restarts_away,set_restarts_home,goal_line_dropouts_away,goal_line_dropouts_home,days_rest_away,days_rest_home,ladder_points_away,ladder_points_home,ladder_points_for_away,ladder_points_for_home,ladder_points_against_away,ladder_points_against_home,ladder_points_diff_away,ladder_points_diff_home,ladder_position_away,ladder_position_home,elo_away,elo_home,shortelo_away,shortelo_home,longelo_away,longelo_home,goals_per_kick_diff,m_per_run_diff,tb_per_run_diff,lb_per_run_diff,offs_per_run_diff,ta_per_touch_diff,lba_per_touch_diff,kick_per_touch_diff,pass_per_touch_diff,km_per_kick_diff,tries_per_game_diff,err_per_touch_diff,points_per_game_diff,tackles_time_diff,saves_per_game_diff,miss_per_t_diff,pen_per_t_diff,ineff_per_t_diff,score_diff,completion_rate_percentage_diff,possession_percentage_diff,time_in_own_half_diff,time_in_opp_half_diff,time_in_own20_diff,time_in_opp20_diff,set_restarts_diff,goal_line_dropouts_diff,days_rest_diff,ladder_points_diff,ladder_points_for_diff,ladder_points_against_diff,ladder_points_diff_diff,ladder_position_diff,elo_diff,shortelo_diff,longelo_diff,prhome,shortprhome,longprhome
NA,98670203,2016-03-12T04:00:03Z,2,Early,20,20,Roosters,Raiders,0.5,0.7142857142857143,9.404929445554446,9.425045232545232,0.1258949383949384,0.17744477744477744,0.010416666666666666,0.023412698412698413,0.07916666666666666,0.054778554778554776,0.008123689727463312,0.018028322440087147,0.008123689727463312,0.009313725490196078,0.020422384219554033,0.00196078431372549,0.34396018791993294,0.29208239662203855,24.95959595959596,18,0,0.13333333333333333,0.029220134844961426,0.029198808201365747,0.125,1.2,30.671875,28.83888888888889,0,0,0.07393377322193245,0.09713025718081646,0.01784961685823755,0.04451985922574158,0.05465646028526353,0.08832249786621603,10,30,83,81,46,48,1426,1388,1502,1446,1132,1061,758,924,0,0,3,1,5.958298611111111,7,0,2,10,30,42,22,-32,8,16,5,1488.5,1511.5,1495,1505,1480,1520,0.2142857142857143,0.020115786990785978,0.051549839049839036,0.012996031746031747,-0.024388111888111887,0.009904632712623835,0.0011900357627327666,-0.018461599905828543,-0.05187779129789438,-6.9595959595959584,0.13333333333333333,-2.1326643595678818e-5,1.075,-1.8329861111111114,0,0.023196483958884004,0.02667024236750403,0.0336660375809525,20,-2,2,-38,-56,-71,166,0,-2,1.0417013888888889,2,20,-20,40,-11,23,10,40,0.5330513938844411,0.5143871841659987,0.5573116337622928
H,98670204,2016-03-12T06:30:04Z,2,Early,6,48,Knights,Rabbitohs,1,0.5,9.635350280463062,9.351314901922189,0.08893387314439946,0.14166944166944168,0.02776733500417711,0.06212121212121212,0.01507936507936508,0.059379217273954114,0.003051948051948052,0.011220176564245147,0.004675324675324675,0.008799520297435033,0.021753246753246754,0.020467966540719088,0.3011976326274131,0.3438786477701186,34.27777777777778,28.095238095238095,0.14285714285714285,0.6153846153846154,0.03580133516550646,0.016359206404455272,0.8571428571428571,2.6153846153846154,31.464285714285715,24.525641025641026,0,0.15384615384615385,0.06003512516117558,0.032985517335310764,0.013789738117469209,0.030018662125685536,0.05176345751976004,0.04484001472984357,12,42,70,90,45,54,1770,1502,1335,1426,1146,758,571,1132,0,0,1,1,5.958298611111111,6.0624768518518515,0,2,12,42,30,10,-18,32,14,1,1488.5,1511.5,1495,1505,1480,1520,-0.5,-0.2840353785408727,0.052735568525042215,0.03435387711703501,0.04429985219458903,0.008168228512297095,0.004124195622110358,-0.0012852802125276654,0.0426810151427055,-6.182539682539684,0.47252747252747257,-0.019442128761051187,1.7582417582417582,-6.93864468864469,0.15384615384615385,-0.027049607825864817,0.01622892400821633,-0.0069234427899164674,30,20,9,-268,91,-388,561,0,0,0.10417824074074034,2,30,-20,50,-13,23,10,40,0.5330513938844411,0.5143871841659987,0.5573116337622928
H,98670205,2016-03-12T08:30:05Z,2,Early,16,20,Cowboys,Eels,1,0,10.056523311367602,8.982091503267974,0.08226031945755129,0.1233303624480095,0.008362168396770472,0.011111111111111112,0,0.10331550802139038,0.006193742116729732,0.0037037037037037034,0.0030977668845315904,0.007407407407407407,0.030385081565422124,0.02334603343375273,0.3404032707682999,0.3545057619161357,23.706666666666667,21.6,0.17647058823529413,0.06666666666666667,0.03626656247763514,0.042366918614058204,1.1764705882352942,0.26666666666666666,25.725490196078432,30.13888888888889,0,0,0.04128759257101683,0.04815663476583017,0.030168816303835663,0.021804511278195486,0.05666892615169637,0.04362628532320002,20,4,77,60,55,45,1566,1625,1453,1471,814,1065,980,642,0,0,2,2,7,8.97574074074074,2,0,20,4,14,17,6,-13,7,13,1511.5,1488.5,1505,1495,1520,1480,-1,-1.0744318080996287,0.041070042990458216,0.0027489427143406395,0.10331550802139038,-0.0024900384130260287,0.004309640522875816,-0.007039048131669393,0.014102491147835794,-2.1066666666666656,-0.10980392156862746,0.006100356136423062,-0.9098039215686275,4.413398692810457,0,0.006869042194813338,-0.008364305025640176,-0.013042640828496349,-16,-17,-10,59,18,251,-338,0,0,1.97574074074074,-2,-16,3,-19,6,-23,-10,-40,0.46694860611555894,0.48561281583400134,0.44268836623770724
H,98670206,2016-03-13T05:00:06Z,2,Early,2,30,Dragons,Sharks,0.5,1,8.529441391941392,9.770952380952382,0.07031746031746032,0.07738095238095238,0.01037037037037037,0.004166666666666667,0.08587301587301586,0.029629629629629627,0.00563097033685269,0.0026666666666666666,0.00563097033685269,0,0.036249349272605084,0.026975931438406084,0.3089612581267848,0.2799766928167697,27.235,36.44166666666666,0.2,0.13333333333333333,0.047851254992157866,0.04812639339040534,1.0666666666666667,0.9333333333333333,25.9,30.038888888888888,0.06666666666666667,0,0.04917124542124542,0.048946629382675896,0.028070995096857166,0.0149526270456503,0.04186341436341436,0,16,14,75,68,53,45,1537,1453,1373,1566,1022,980,873,814,0,0,2,2,5.8749768518518515,7.85417824074074,0,0,16,14,18,20,-2,-6,9,10,1488.5,1488.5,1495,1495,1480,1480,0.5,1.2415109890109903,0.007063492063492063,-0.0062037037037037035,-0.056243386243386234,-0.002964303670186023,-0.00563097033685269,-0.009273417834199,-0.028984565310015142,9.206666666666663,-0.06666666666666668,2.751383982474778e-4,-0.1333333333333333,4.138888888888889,-0.06666666666666667,-2.2461603856952644e-4,-0.013118368051206865,-0.04186341436341436,-2,-7,-8,-84,193,-42,-59,0,0,1.9792013888888889,0,-2,2,-4,1,0,0,0,0.5,0.5,0.5
H,98670207,2016-03-13T07:30:07Z,2,Early,16,34,Titans,Storm,0.8333333333333334,0.6,9.091003810431054,9.092330447330447,0.06532790309106098,0.09435185185185185,0.01369047619047619,0.02943121693121693,0.050842490842490845,0.031296296296296294,0.009837505489679403,6.116207951070337e-4,0.005797101449275362,0.003641923825410064,0.03565769026295342,0.04328673365370613,0.37036843178433565,0.2762565989056815,25.953333333333333,29.604761904761904,0.26666666666666666,0.2,0.03172846593613184,0.03887174030522654,1.7333333333333334,1.2,27.305555555555557,29.211111111111112,0.06666666666666667,0,0.05882246294011,0.07506408583058076,0.039510489510489515,0.004233870967741935,0.0058823529411764705,0.1290381419850567,30,18,74,79,55,47,1335,1373,1770,1537,571,873,1146,1022,0,0,0,4,7,5.979155092592593,2,2,30,18,12,16,18,2,3,8,1511.5,1511.5,1505,1505,1520,1520,-0.2333333333333334,0.001326636899392497,0.02902394876079087,0.01574074074074074,-0.01954619454619455,-0.009225884694572369,-0.0021551776238652983,0.00762904339075271,-0.09411183287865416,3.6514285714285712,-0.06666666666666665,0.007143274369094697,-0.5333333333333334,1.905555555555555,-0.06666666666666667,0.016241622890470757,-0.03527661854274758,0.12315578904388022,-12,5,-8,38,-233,302,-124,0,4,-1.0208449074074073,0,-12,4,-16,5,0,0,0,0.5,0.5,0.5
H,98670208,2016-03-14T08:00:08Z,2,Early,22,36,Eagles,Tigers,1,0.8333333333333334,8.750715521148958,10.929017649017648,0.04369747899159664,0.0992046842046842,0.004201680672268907,0.05412698412698413,0.07634144566917676,0.10637806637806638,0.0026666666666666666,0.015869460886258197,0.0026666666666666666,0.017168162184959496,0.030214752567693744,0.02605741303613644,0.3614299153959248,0.29386972266239686,26.25,24.55,0.06666666666666667,0.4,0.04536254159783572,0.063863494661367,0.4,2.2666666666666666,30.85,25.627777777777776,0.13333333333333333,0,0,0.23901727357609712,0,0.025014854426619132,0,0.02255892255892256,6,34,72,67,46,53,1320,1194,1513,1657,1141,921,826,1055,0,0,0,0,9.954930555555556,9.062546296296297,0,0,0,0,0,0,0,0,0,0,1488.5,1511.5,1495,1505,1480,1520,-0.16666666666666663,2.1783021278686903,0.05550720521308756,0.04992530345471522,0.030036620708889614,0.013202794219591531,0.01450149551829283,-0.004157339531557305,-0.06756019273352792,-1.6999999999999993,0.33333333333333337,0.018500953063531278,1.8666666666666667,-5.222222222222225,-0.13333333333333333,0,0,0,28,-5,7,-126,144,-220,229,0,0,-0.8923842592592592,0,0,0,0,0,23,10,40,0.5330513938844411,0.5143871841659987,0.5573116337622928
H,98670301,2016-03-17T09:05:01Z,3,Early,0,40,Roosters,Cowboys,0.49,0.98,9.700176423576423,10.047252732153467,0.14192018700253994,0.08734940631264161,0.011656898656898658,0.010501919648978474,0.08144617604617604,0.002970279720279723,0.008691752716034914,0.005988198294978611,0.008467414091696289,0.0033008917934306244,0.021399526962521485,0.029755823701834352,0.32815572310975816,0.34119361264052556,24.952575757575758,30.942222222222224,0.015000000000000013,0.17647058823529413,0.0306771904979787,0.036487513834793255,0.19250000000000006,1.1623529411764706,28.4825,26.094019607843137,0,0,0.12576908883655552,0.04239578653455828,0.018045384334694683,0.033491671819500836,0.056114237708051094,0.05611273566163095,10.6,19.759999999999998,82.58,76.16,46.48,54.519999999999996,1436.9199999999998,1556.52,1495.94,1451.32,1107.7,830.86,776.36,973.52,0,0,2.94,1.88,5.211782407407408,5.024259259259259,0,2,30,36,63,34,-33,2,14,8,1489.2601820593422,1499.2398179406578,1495.14387184166,1499.85612815834,1482.2924653504917,1497.7075346495083,0.49,0.3470763085770443,-0.05457078068989833,-0.001154979007920184,-0.07847589632589633,-0.002703554421056303,-0.0051665222982656646,0.008356296739312867,0.0130378895307674,5.989646464646466,0.16147058823529412,0.005810323336814555,0.9698529411764705,-2.3884803921568647,0,-0.08337330230199724,0.015446287484806153,-1.5020464201459527e-6,9.159999999999998,-6.420000000000002,8.04,119.60000000000014,-44.62000000000012,-276.84000000000003,197.15999999999997,0,-1.06,-0.18752314814814852,2,6,-29,35,-6,9.979635881315517,4.712256316679941,15.415069299016523,0.5143579020586629,0.506781066171926,0.5221695227588059
A,98670302,2016-03-18T09:05:02Z,3,Early,20,6,Eels,Bulldogs,0.04800000000000004,0.6866666666666666,8.757974326980209,9.226393941706442,0.13991725398784222,0.10324944384319384,0.011115773115773116,0.02375757575757576,0.06784991087344028,0.04838489057239057,0.005162962962962963,0.007243457825203252,0.005162962962962963,0.0041334476626016265,0.026712077418671487,0.03929926964549678,0.345481039746706,0.3426466294415907,16.723333333333333,35.53366666666667,0.07066666666666667,0.28705882352941176,0.033415862102879196,0.012306258753501402,0.3146666666666667,1.5976470588235294,27.36488888888889,29.132941176470588,0.0040000000000000036,0,0.060020230659081235,0.04348885493591376,0.020234920634920633,0.035947606881136296,0.041228287804149874,0.06289639586992528,4.960000000000001,27.400000000000002,60.96,84.03999999999999,45.48,53.64,1613,1515.94,1467.22,1329.18,1053.42,832.54,669.1800000000001,1124.5,0,0,2,4,6.0242708333333335,8.000011574074074,2,4,24,46,33,22,-9,24,10,3,1500.7601820593422,1522.2398179406578,1500.14387184166,1509.85612815834,1502.2924653504917,1537.7075346495083,0.6386666666666666,0.4684196147262334,-0.03666781014464837,0.012641802641802643,-0.019465020301049706,0.002080494862240289,-0.0010295153003613364,0.012587192226825292,-0.0028344103051153313,18.810333333333336,0.2163921568627451,-0.021109603349377795,1.2829803921568628,1.7680522875816997,-0.0040000000000000036,-0.016531375723167478,0.015712686246215662,0.021668108065775404,22.44,23.07999999999999,8.160000000000004,-97.05999999999995,-138.03999999999996,-220.8800000000001,455.31999999999994,0,2,1.9757407407407408,2,22,-11,33,-7,21.479635881315517,9.712256316679941,35.41506929901652,0.5308723581810829,0.5139734208099964,0.5507905937405521
NA,98670303,2016-03-19T06:30:03Z,3,Early,24,24,Raiders,Knights,0.7014285714285714,1,9.419398930201451,9.82800291855179,0.14762817714498386,0.08236350491613649,0.02134069082178326,0.02508939014202172,0.08369832128655658,0.018397546897546902,0.01895493704728268,0.0031209320091673035,0.009820950119178105,0.005075477463712758,0.013010504201680673,0.03396978211372658,0.33762867943366665,0.32989755509455837,36.93333333333333,24.684305555555557,0.14133333333333334,0.13857142857142857,0.029282747552248835,0.023388214175403616,1.208,0.8314285714285714,29.174555555555553,33.00928571428572,0,0,0.11948142285343698,0.075880323753433,0.026970482251687414,0.02290252836177206,0.07698215915851739,0.05701587835314063,29.4,11.64,80.10000000000001,69.58,47.88,45.12,1388.7800000000002,1758.66,1455.72,1342.32,1061.18,1146.6000000000001,912.18,574.6600000000001,0,0,1.1800000000000002,1.06,7.104166666666667,6.999988425925926,4,0,51,18,42,78,9,-60,6,16,1510.7398179406578,1477.7601820593422,1504.85612815834,1490.14387184166,1517.7075346495083,1462.2924653504917,0.2985714285714286,0.4086039883503396,-0.06526467222884737,0.003748699320238462,-0.06530077438900968,-0.015834005038115377,-0.004745472655465347,0.02095927791204591,-0.007731124339108275,-12.249027777777773,-0.002761904761904771,-0.005894533376845219,-0.37657142857142856,3.8347301587301637,0,-0.04360109910000398,-0.004067953889915356,-0.01996628080537676,-17.759999999999998,-10.52000000000001,-2.760000000000005,369.8799999999999,-113.40000000000009,85.42000000000007,-337.51999999999987,0,-0.1200000000000001,-0.10417824074074122,-4,-33,36,-69,10,-32.97963588131552,-14.712256316679941,-55.41506929901652,0.45268052563259203,0.4788400071755819,0.42092074688175246
NA,98670304,2016-03-19T08:30:04Z,3,Early,22,22,Broncos,Panthers,0.6375,1,8.743617579788634,10.294099093499094,0.06227479460683795,0.07808597328597329,0.017765972417675205,0.018346320346320347,0.04224208582954713,0.09420961630961631,0.004906679249239803,0.008476998997609684,0.011853888902331808,0.008355555555555555,0.036286753715981154,0.023774184906627655,0.3162680698751088,0.27536517410247824,37.78879487179488,31.527909356725146,0.17647058823529413,0.13333333333333333,0.03815794192799981,0.055232229387492546,0.9552941176470588,1.192,26.208039215686277,25.151888888888887,0,0,0.1425070033418695,0.09528147578741106,0.0426801635233793,0.04626798386798387,0.11284701892310588,0.070156151192521235,16.48,21.64,69.48,66.60000000000001,54.879999999999995,52,1461.8200000000002,1447.6200000000001,1619.42,1398.44,652.5600000000001,920.52,1069.02,1053.44,0,0,0,1.06,7.975717592592592,8.975729166666667,4,0,42,38,14,48,28,-10,2,11,1522.2398179406578,1477.7601820593422,1509.85612815834,1490.14387184166,1537.7075346495083,1462.2924653504917,0.36250000000000004,1.5504815137104604,0.01581117867913534,5.803479286451418e-4,0.051967530480069184,0.0035703197483698806,-0.003498333346776253,-0.012512568809353499,-0.040902895772630565,-6.260885515069731,-0.0431372549019608,0.017074287459492736,0.2367058823529411,-1.0561503267973897,0,-0.04722552755445844,0.0035878203446045726,-0.04269086773058464,5.16,-2.8799999999999955,-2.8799999999999955,-14.200000000000045,-220.98000000000002,267.9599999999999,-15.579999999999927,0,1.06,1.0000115740740751,-4,-4,34,-38,9,-44.47963588131552,-19.71225631667994,-75.41506929901652,0.43633609203994544,0.47166218295650314,0.39314198106720527
H,98670305,2016-03-19T10:30:05Z,3,Early,18,30,Tigers,Titans,0.8133333333333334,0.8233333333333334,10.646714478230104,8.776646229112355,0.09203350295537796,0.062117709174210715,0.03708556547619048,0.01135504201680672,0.09527692099567099,0.04498383968972204,0.016625909924679945,0.008524686682016936,0.017268496504766525,0.004961636828644501,0.033708044733044736,0.02827717990828586,0.3543069780343163,0.349087929801823,37.55685714285714,26.849944444444446,0.3011764705882353,0.28705882352941176,0.04867655261405261,0.04097124463407518,1.7858823529411765,1.7152941176470586,21.990686274509805,26.246960784313725,0,0.058823529411764705,0.2319192668474886,0.05444704401876876,0.018496978646531076,0.03338873094451188,0.03513508532530272,0.06653484826532494,34.12,29.16,67.78,74.12,53.120000000000005,54.82,1217.52,1352.76,1644.16,1748.28,915.4799999999999,596.5000000000001,1050.2,1124.76,0,0,0.1200000000000001,0.1200000000000001,5.104131944444444,6.1249768518518515,0,2,0,46,0,46,0,0,0,9,1522.2398179406578,1500,1509.85612815834,1500,1537.7075346495083,1500,0.010000000000000009,-1.8700682491177485,-0.029915793781167245,-0.02573052345938376,-0.05029308130594895,-0.008101223242663009,-0.012306859676122023,-0.005430864824758876,-0.005219048232493306,-10.706912698412694,-0.014117647058823568,-0.007705307979977434,-0.07058823529411784,4.256274509803919,0.058823529411764705,-0.17747222282871983,0.014891752297980801,0.03139976294002222,-4.959999999999997,6.340000000000003,1.6999999999999957,135.24,104.11999999999989,-318.9799999999998,74.55999999999995,0,0,1.0208449074074073,0,0,0,0,0,-22.23981794065776,-9.85612815833997,-37.70753464950826,0.46803797158255916,0.48581969508237843,0.44594656050206205
